day,src_ip,dst_ip,connection_count,delta_mean_s,delta_std_s,delta_cv,recurrent_ratio,bytes_out_mean,bytes_out_cv,bytes_in_mean,duration_mean_ms,packets_out_mean,tls_ratio,night_ratio,unique_ports,label
2026-08-01,10.20.0.100,104.18.32.47,99,871.969387755102,287.3169855716012,0.32950352341072775,0.8469387755102041,1490.8080808080808,0.595909476185596,6177.020202020202,692.4141414141415,7.363636363636363,1.0,0.30303030303030304,1,0
2026-08-01,10.20.0.100,104.26.10.78,28,1782.3278888888888,2524.956860565584,1.4166623752600611,0.1111111111111111,4440.678571428572,0.5685733732101566,33128.392857142855,2124.964285714286,16.321428571428573,1.0,0.03571428571428571,1,0
2026-08-01,10.20.0.100,13.107.42.12,3,15191.6985,8940.7855,0.5885309993480979,0.0,2624.0,0.7281302166522772,33755.0,2782.0,11.0,1.0,0.0,1,0
2026-08-01,10.20.0.100,142.250.74.14,6,3858.7013999999995,2948.863298445528,0.7642113220902578,0.4,4628.0,0.4417612181726441,43977.166666666664,3343.8333333333335,17.0,1.0,0.0,1,0
2026-08-01,10.20.0.100,151.101.1.69,27,1206.8768076923077,922.7111634865868,0.7645446143346813,0.07692307692307693,4039.3333333333335,0.6730199258202312,35536.333333333336,1553.7037037037037,19.074074074074073,0.5555555555555556,0.0,2,0
2026-08-01,10.20.0.100,17.253.144.10,10,7473.805555555556,10093.951986304166,1.3505772810480678,0.2222222222222222,3911.2,0.7108880721721461,32119.9,2238.8,19.5,1.0,0.1,1,0
2026-08-01,10.20.0.100,172.217.20.174,22,1939.7839047619048,3125.153829796511,1.6110834934369163,0.047619047619047616,3505.5,0.6319366336032373,31911.31818181818,2080.1363636363635,19.954545454545453,1.0,0.0,1,0
2026-08-01,10.20.0.100,192.0.2.10,1,0.0,0.0,0.0,0.0,2998.0,0.0,52187.0,5718.0,8.0,0.0,0.0,1,0
2026-08-01,10.20.0.100,192.0.2.20,1,0.0,0.0,0.0,0.0,2564.0,0.0,35403.0,20.0,31.0,0.0,0.0,1,0
2026-08-01,10.20.0.100,192.0.2.30,2,18114.769,0.0,0.0,1.0,4544.0,0.5525968309859155,26324.0,4710.0,20.5,0.5,0.0,2,0
2026-08-01,10.20.0.100,198.51.100.10,4,3841.5626666666667,2791.9614734531865,0.7267775422952499,0.3333333333333333,3975.5,0.7502841929058748,40156.75,2299.25,21.25,0.75,0.0,2,0
2026-08-01,10.20.0.100,198.51.100.20,3,5775.439,1339.4279999999999,0.23191795463513679,0.0,2136.3333333333335,0.32683047824795364,25610.0,2756.6666666666665,20.333333333333332,1.0,0.0,1,0
2026-08-01,10.20.0.100,203.0.113.25,5,2691.19175,3202.966495232066,1.1901665852060024,0.0,2955.2,0.9993110076464671,36227.4,2513.2,13.4,0.4,0.0,2,0
2026-08-01,10.20.0.100,203.0.113.50,4,5114.758000000001,1950.5766060641317,0.3813624429668288,0.3333333333333333,7157.0,0.4342242097984061,17800.5,1422.0,8.5,1.0,0.0,1,0
2026-08-01,10.20.0.100,23.215.0.136,26,2006.5768799999998,2256.3019267887234,1.1244532662953457,0.04,4232.038461538462,0.5021441390794819,26751.96153846154,1316.3076923076924,15.961538461538462,0.5,0.0,2,0
2026-08-01,10.20.0.100,52.85.12.44,23,1531.979909090909,1469.5420321363856,0.959243671157819,0.36363636363636365,3456.8695652173915,0.7700083439766748,22431.217391304348,1890.9130434782608,17.47826086956522,1.0,0.0,1,0
2026-08-01,10.20.0.101,104.18.32.47,7,7203.879666666667,3376.503065542252,0.46870620023898957,0.0,6001.142857142857,0.4844287106573739,29905.0,1630.4285714285713,16.142857142857142,1.0,0.0,1,0
